source_species	input_gene	normalized_gene	human_ensembl	human_symbol	status	reason	updated_at
mouse	Adrb2	Adrb2	ENSG00000169252	ADRB2	mapped		2026-05-25T06:49:07+00:00
mouse	Afp	Afp	ENSG00000081051	AFP	mapped		2026-05-25T06:49:10+00:00
mouse	Agap2	Agap2	ENSG00000135439	AGAP2	mapped		2026-05-25T06:49:13+00:00
mouse	Agap3	Agap3	ENSG00000133612	AGAP3	mapped		2026-05-25T06:49:16+00:00
mouse	Agrn	Agrn	ENSG00000188157	AGRN	mapped		2026-05-25T06:49:19+00:00
mouse	Agt	Agt	ENSG00000135744	AGT	mapped		2026-05-25T06:49:23+00:00
mouse	Agtr2	Agtr2	ENSG00000180772	AGTR2	mapped		2026-05-25T06:49:27+00:00
mouse	Aif1	Aif1	ENSG00000204472	AIF1	mapped		2026-05-25T06:49:30+00:00
mouse	Ajap1	Ajap1	ENSG00000196581	AJAP1	mapped		2026-05-25T06:49:33+00:00
mouse	Ak7	Ak7	ENSG00000140057	AK7	mapped		2026-05-25T06:49:36+00:00
mouse	Akap5	Akap5	ENSG00000179841	AKAP5	mapped		2026-05-25T06:49:39+00:00
mouse	Akap9	Akap9	ENSG00000127914	AKAP9	mapped		2026-05-25T06:49:42+00:00
mouse	Akr1a1	Akr1a1	ENSG00000117448	AKR1A1	mapped		2026-05-25T06:49:45+00:00
mouse	Akr1c18	Akr1c18			unmapped	no_human_one_to_one_ortholog	2026-05-25T06:49:48+00:00
mouse	Aldh1a1	Aldh1a1			unmapped	no_human_one_to_one_ortholog	2026-05-25T06:49:52+00:00
mouse	Aldh1l1	Aldh1l1	ENSG00000144908	ALDH1L1	mapped		2026-05-25T06:49:56+00:00
mouse	Aldoc	Aldoc	ENSG00000109107	ALDOC	mapped		2026-05-25T06:49:59+00:00
mouse	Ambp	Ambp	ENSG00000106927	AMBP	mapped		2026-05-25T06:50:02+00:00
mouse	Amigo2	Amigo2	ENSG00000139211	AMIGO2	mapped		2026-05-25T06:50:05+00:00
mouse	Amigo3	Amigo3	ENSG00000176020	AMIGO3	mapped		2026-05-25T06:50:08+00:00
mouse	Angpt1	Angpt1	ENSG00000154188	ANGPT1	mapped		2026-05-25T06:50:11+00:00
mouse	Angpt2	Angpt2	ENSG00000091879	ANGPT2	mapped		2026-05-25T06:50:15+00:00
mouse	Angpt4	Angpt4	ENSG00000101280	ANGPT4	mapped		2026-05-25T06:50:18+00:00
mouse	Ank	Ank	ENSG00000154122	ANKH	mapped		2026-05-25T06:50:21+00:00
mouse	Anln	Anln	ENSG00000011426	ANLN	mapped		2026-05-25T06:50:24+00:00
mouse	Ano1	Ano1	ENSG00000131620	ANO1	mapped		2026-05-26T14:09:35+00:00
mouse	Ano2	Ano2	ENSG00000047617	ANO2	mapped		2026-05-26T14:09:39+00:00
mouse	Antxr2	Antxr2	ENSG00000163297	ANTXR2	mapped		2026-05-26T14:09:44+00:00
mouse	Anxa1	Anxa1	ENSG00000135046	ANXA1	mapped		2026-05-26T14:09:47+00:00
mouse	Anxa2	Anxa2	ENSG00000182718	ANXA2	mapped		2026-05-26T14:09:51+00:00
mouse	Anxa3	Anxa3	ENSG00000138772	ANXA3	mapped		2026-05-26T14:09:55+00:00
mouse	Anxa5	Anxa5	ENSG00000164111	ANXA5	mapped		2026-05-26T14:09:59+00:00
mouse	Ap1g1	Ap1g1	ENSG00000166747	AP1G1	mapped		2026-05-26T14:10:03+00:00
mouse	Ap2b1	Ap2b1	ENSG00000006125	AP2B1	mapped		2026-05-26T14:10:07+00:00
mouse	Apba1	Apba1	ENSG00000107282	APBA1	mapped		2026-05-26T14:10:11+00:00
mouse	Apba2	Apba2	ENSG00000034053	APBA2	mapped		2026-05-26T14:10:16+00:00
mouse	Apc2	Apc2	ENSG00000115266	APC2	mapped		2026-05-26T14:10:20+00:00
mouse	Aph1a	Aph1a	ENSG00000117362	APH1A	mapped		2026-05-26T14:10:25+00:00
mouse	Apln	Apln	ENSG00000171388	APLN	mapped		2026-05-26T14:10:30+00:00
mouse	Apod	Apod	ENSG00000189058	APOD	mapped		2026-05-26T14:10:39+00:00
mouse	Apoe	Apoe	ENSG00000130203	APOE	mapped		2026-05-26T14:10:43+00:00
mouse	Apold1	Apold1	ENSG00000178878	APOLD1	mapped		2026-05-26T14:10:49+00:00
mouse	App	App	ENSG00000142192	APP	mapped		2026-05-26T14:10:53+00:00
mouse	Aqp4	Aqp4	ENSG00000171885	AQP4	mapped		2026-05-26T14:10:56+00:00
mouse	Arap2	Arap2	ENSG00000047365	ARAP2	mapped		2026-05-26T14:10:59+00:00
mouse	Arc	Arc	ENSG00000198576	ARC	mapped		2026-05-26T14:11:02+00:00
mouse	Arf4	Arf4	ENSG00000168374	ARF4	mapped		2026-05-26T14:11:06+00:00
mouse	Arf6	Arf6	ENSG00000165527	ARF6	mapped		2026-05-26T14:11:10+00:00
mouse	Arfgef2	Arfgef2	ENSG00000124198	ARFGEF2	mapped		2026-05-26T14:11:13+00:00
mouse	Arhgap22	Arhgap22	ENSG00000128805	ARHGAP22	mapped		2026-05-26T14:11:17+00:00
mouse	Arhgap25	Arhgap25	ENSG00000163219	ARHGAP25	mapped		2026-05-26T14:11:20+00:00
mouse	Arhgap36	Arhgap36	ENSG00000147256	ARHGAP36	mapped		2026-05-26T14:11:23+00:00
mouse	Arhgdia	Arhgdia	ENSG00000141522	ARHGDIA	mapped		2026-05-26T14:11:27+00:00
mouse	Arhgef15	Arhgef15	ENSG00000198844	ARHGEF15	mapped		2026-05-26T14:11:30+00:00
mouse	Arhgef26	Arhgef26	ENSG00000114790	ARHGEF26	mapped		2026-05-26T14:11:33+00:00
mouse	Arhgef7	Arhgef7	ENSG00000102606	ARHGEF7	mapped		2026-05-26T14:11:36+00:00
mouse	Arid5a	Arid5a	ENSG00000196843	ARID5A	mapped		2026-05-26T14:11:40+00:00
mouse	Arl6ip1	Arl6ip1	ENSG00000170540	ARL6IP1	mapped		2026-05-26T14:11:43+00:00
mouse	Armcx6	Armcx6	ENSG00000198960	ARMCX6	mapped		2026-05-26T14:11:47+00:00
mouse	Arpc2	Arpc2	ENSG00000163466	ARPC2	mapped		2026-05-26T14:11:51+00:00
mouse	Arpc3	Arpc3	ENSG00000111229	ARPC3	mapped		2026-05-26T14:11:54+00:00
mouse	Arrb2	Arrb2	ENSG00000141480	ARRB2	mapped		2026-05-26T14:11:58+00:00
mouse	Arx	Arx	ENSG00000004848	ARX	mapped		2026-05-26T14:12:01+00:00
mouse	Asb2	Asb2	ENSG00000100628	ASB2	mapped		2026-05-26T14:12:05+00:00
mouse	Asb4	Asb4	ENSG00000005981	ASB4	mapped		2026-05-26T14:12:08+00:00
mouse	Ascl1	Ascl1	ENSG00000139352	ASCL1	mapped		2026-05-26T14:12:11+00:00
mouse	Ash1l	Ash1l	ENSG00000116539	ASH1L	mapped		2026-05-26T14:12:15+00:00
mouse	Asic3	Asic3	ENSG00000213199	ASIC3	mapped		2026-05-26T14:12:18+00:00
mouse	Asic4	Asic4	ENSG00000072182	ASIC4	mapped		2026-05-26T14:12:21+00:00
mouse	Aspa	Aspa	ENSG00000108381	ASPA	mapped		2026-05-26T14:12:25+00:00
mouse	Aspg	Aspg	ENSG00000166183	ASPG	mapped		2026-05-26T14:12:28+00:00
mouse	Ass1	Ass1	ENSG00000130707	ASS1	mapped		2026-05-26T14:12:32+00:00
mouse	Astn2	Astn2	ENSG00000148219	ASTN2	mapped		2026-05-26T14:12:35+00:00
mouse	Atad1	Atad1	ENSG00000138138	ATAD1	mapped		2026-05-26T14:12:39+00:00
mouse	Atg9a	Atg9a	ENSG00000198925	ATG9A	mapped		2026-05-26T14:12:42+00:00
mouse	Atp10a	Atp10a	ENSG00000206190	ATP10A	mapped		2026-05-26T14:12:48+00:00
mouse	Atp10d	Atp10d	ENSG00000145246	ATP10D	mapped		2026-05-26T14:12:51+00:00
mouse	Atp13a4	Atp13a4	ENSG00000127249	ATP13A4	mapped		2026-05-26T14:12:55+00:00
mouse	Atp1a2	Atp1a2	ENSG00000018625	ATP1A2	mapped		2026-05-26T14:12:58+00:00
mouse	Atp2a3	Atp2a3	ENSG00000074370	ATP2A3	mapped		2026-05-26T14:13:01+00:00
mouse	Atp2b4	Atp2b4	ENSG00000058668	ATP2B4	mapped		2026-05-26T14:13:04+00:00
mouse	Atp5b	Atp5b			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:13:05+00:00
mouse	Atp5d	Atp5d			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:13:06+00:00
mouse	Atp5g1	Atp5g1			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:13:08+00:00
mouse	Atp6ap1	Atp6ap1	ENSG00000071553	ATP6AP1	mapped		2026-05-26T14:13:11+00:00
mouse	Atp6v0a4	Atp6v0a4	ENSG00000105929	ATP6V0A4	mapped		2026-05-26T14:13:14+00:00
mouse	Atp6v1b1	Atp6v1b1	ENSG00000116039	ATP6V1B1	mapped		2026-05-26T14:13:17+00:00
mouse	Atp6v1e1	Atp6v1e1	ENSG00000131100	ATP6V1E1	mapped		2026-05-26T14:13:20+00:00
mouse	Atp6v1f	Atp6v1f	ENSG00000128524	ATP6V1F	mapped		2026-05-26T14:13:24+00:00
mouse	Atp6v1g1	Atp6v1g1	ENSG00000136888	ATP6V1G1	mapped		2026-05-26T14:13:27+00:00
mouse	Atp6v1g2	Atp6v1g2	ENSG00000213760	ATP6V1G2	mapped		2026-05-26T14:13:30+00:00
mouse	Atp6v1h	Atp6v1h	ENSG00000047249	ATP6V1H	mapped		2026-05-26T14:13:33+00:00
mouse	Atp8a1	Atp8a1	ENSG00000124406	ATP8A1	mapped		2026-05-26T14:13:36+00:00
mouse	Atp8b1	Atp8b1	ENSG00000081923	ATP8B1	mapped		2026-05-26T14:13:39+00:00
mouse	Aurkb	Aurkb	ENSG00000178999	AURKB	mapped		2026-05-26T14:13:42+00:00
mouse	Avp	Avp	ENSG00000101200	AVP	mapped		2026-05-26T14:13:46+00:00
mouse	Axin1	Axin1	ENSG00000103126	AXIN1	mapped		2026-05-26T14:13:49+00:00
mouse	Axl	Axl	ENSG00000167601	AXL	mapped		2026-05-26T14:13:52+00:00
mouse	B3galt5	B3galt5	ENSG00000183778	B3GALT5	mapped		2026-05-26T14:13:56+00:00
mouse	B3gnt5	B3gnt5	ENSG00000176597	B3GNT5	mapped		2026-05-26T14:13:59+00:00
mouse	Baiap2l1	Baiap2l1	ENSG00000006453	BAIAP2L1	mapped		2026-05-26T14:14:03+00:00
mouse	Baiap2l2	Baiap2l2	ENSG00000128298	BAIAP2L2	mapped		2026-05-26T14:14:06+00:00
mouse	Baiap3	Baiap3	ENSG00000007516	BAIAP3	mapped		2026-05-26T14:14:09+00:00
mouse	Barhl1	Barhl1	ENSG00000125492	BARHL1	mapped		2026-05-26T14:14:12+00:00
mouse	Baz1a	Baz1a	ENSG00000198604	BAZ1A	mapped		2026-05-26T14:14:16+00:00
mouse	Bcan	Bcan	ENSG00000132692	BCAN	mapped		2026-05-26T14:14:19+00:00
mouse	Bcas1	Bcas1	ENSG00000064787	BCAS1	mapped		2026-05-26T14:14:22+00:00
mouse	Bche	Bche	ENSG00000114200	BCHE	mapped		2026-05-26T14:14:25+00:00
mouse	Bcl11b	Bcl11b	ENSG00000127152	BCL11B	mapped		2026-05-26T14:14:28+00:00
mouse	Begain	Begain	ENSG00000183092	BEGAIN	mapped		2026-05-26T14:14:31+00:00
mouse	Bid	Bid	ENSG00000015475	BID	mapped		2026-05-26T14:14:34+00:00
mouse	Bin1	Bin1	ENSG00000136717	BIN1	mapped		2026-05-26T14:14:37+00:00
mouse	Blnk	Blnk	ENSG00000095585	BLNK	mapped		2026-05-26T14:14:40+00:00
mouse	Bmp1	Bmp1	ENSG00000168487	BMP1	mapped		2026-05-26T14:14:43+00:00
mouse	Bmp3	Bmp3	ENSG00000152785	BMP3	mapped		2026-05-26T14:14:47+00:00
mouse	Bmp4	Bmp4	ENSG00000125378	BMP4	mapped		2026-05-26T14:14:49+00:00
mouse	Bmp5	Bmp5	ENSG00000112175	BMP5	mapped		2026-05-26T14:14:52+00:00
mouse	Bmpr1b	Bmpr1b	ENSG00000138696	BMPR1B	mapped		2026-05-26T14:14:56+00:00
mouse	Brca1	Brca1	ENSG00000012048	BRCA1	mapped		2026-05-26T14:14:59+00:00
mouse	Bsg	Bsg	ENSG00000172270	BSG	mapped		2026-05-26T14:15:02+00:00
mouse	Bspry	Bspry	ENSG00000119411	BSPRY	mapped		2026-05-26T14:15:05+00:00
mouse	Bst2	Bst2	ENSG00000130303	BST2	mapped		2026-05-26T14:15:08+00:00
mouse	Btg2	Btg2	ENSG00000159388	BTG2	mapped		2026-05-26T14:15:11+00:00
mouse	Btg3	Btg3	ENSG00000154640	BTG3	mapped		2026-05-26T14:15:14+00:00
mouse	Bves	Bves			unmapped	ensembl_request_failed:HTTPError	2026-05-26T14:15:15+00:00
mouse	C1qa	C1qa	ENSG00000173372	C1QA	mapped		2026-05-26T14:15:18+00:00
mouse	C1qb	C1qb	ENSG00000173369	C1QB	mapped		2026-05-26T14:15:21+00:00
mouse	C1qbp	C1qbp	ENSG00000108561	C1QBP	mapped		2026-05-26T14:15:24+00:00
mouse	C1qc	C1qc	ENSG00000159189	C1QC	mapped		2026-05-26T14:15:27+00:00
mouse	C1ql1	C1ql1	ENSG00000131094	C1QL1	mapped		2026-05-26T14:15:30+00:00
mouse	C1ql2	C1ql2	ENSG00000144119	C1QL2	mapped		2026-05-26T14:15:33+00:00
mouse	C1ql3	C1ql3	ENSG00000165985	C1QL3	mapped		2026-05-26T14:15:36+00:00
mouse	C1qtnf7	C1qtnf7	ENSG00000163145	C1QTNF7	mapped		2026-05-26T14:15:39+00:00
mouse	C2cd4b	C2cd4b			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:15:42+00:00
mouse	C3	C3	ENSG00000125730	C3	mapped		2026-05-26T14:15:45+00:00
mouse	C4b	C4b			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:15:49+00:00
mouse	Cables1	Cables1	ENSG00000134508	CABLES1	mapped		2026-05-26T14:15:52+00:00
mouse	Cabp1	Cabp1	ENSG00000157782	CABP1	mapped		2026-05-26T14:15:55+00:00
mouse	Cabp7	Cabp7	ENSG00000100314	CABP7	mapped		2026-05-26T14:15:58+00:00
mouse	Cacna1d	Cacna1d	ENSG00000157388	CACNA1D	mapped		2026-05-26T14:16:01+00:00
mouse	Cacna1g	Cacna1g	ENSG00000006283	CACNA1G	mapped		2026-05-26T14:16:05+00:00
mouse	Cacna2d3	Cacna2d3	ENSG00000157445	CACNA2D3	mapped		2026-05-26T14:16:08+00:00
mouse	Cacnb2	Cacnb2	ENSG00000165995	CACNB2	mapped		2026-05-26T14:16:11+00:00
mouse	Cacng4	Cacng4	ENSG00000075461	CACNG4	mapped		2026-05-26T14:16:14+00:00
mouse	Cacng5	Cacng5	ENSG00000075429	CACNG5	mapped		2026-05-26T14:16:17+00:00
mouse	Cacng7	Cacng7	ENSG00000105605	CACNG7	mapped		2026-05-26T14:16:19+00:00
mouse	Cacng8	Cacng8	ENSG00000142408	CACNG8	mapped		2026-05-26T14:16:22+00:00
mouse	Cadm1	Cadm1	ENSG00000182985	CADM1	mapped		2026-05-26T14:16:26+00:00
mouse	Cadm2	Cadm2	ENSG00000175161	CADM2	mapped		2026-05-26T14:16:29+00:00
mouse	Cadps2	Cadps2	ENSG00000081803	CADPS2	mapped		2026-05-26T14:16:32+00:00
mouse	Calb2	Calb2	ENSG00000172137	CALB2	mapped		2026-05-26T14:16:36+00:00
mouse	Calca	Calca	ENSG00000110680	CALCA	mapped		2026-05-26T14:16:38+00:00
mouse	Calcb	Calcb	ENSG00000175868	CALCB	mapped		2026-05-26T14:16:41+00:00
mouse	Calcrl	Calcrl	ENSG00000064989	CALCRL	mapped		2026-05-26T14:16:44+00:00
mouse	Cald1	Cald1	ENSG00000122786	CALD1	mapped		2026-05-26T14:16:47+00:00
mouse	Calml4	Calml4	ENSG00000129007	CALML4	mapped		2026-05-26T14:16:51+00:00
mouse	Camk2d	Camk2d			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:16:54+00:00
mouse	Canx	Canx	ENSG00000127022	CANX	mapped		2026-05-26T14:16:57+00:00
mouse	Caprin1	Caprin1	ENSG00000135387	CAPRIN1	mapped		2026-05-26T14:17:00+00:00
mouse	Car2	Car2	ENSG00000104267	CA2	mapped		2026-05-26T14:17:03+00:00
mouse	Car3	Car3	ENSG00000164879	CA3	mapped		2026-05-26T14:17:06+00:00
mouse	Car4	Car4	ENSG00000167434	CA4	mapped		2026-05-26T14:17:11+00:00
mouse	Car8	Car8	ENSG00000178538	CA8	mapped		2026-05-26T14:17:16+00:00
mouse	Carns1	Carns1	ENSG00000172508	CARNS1	mapped		2026-05-26T14:17:18+00:00
mouse	Cartpt	Cartpt	ENSG00000164326	CARTPT	mapped		2026-05-26T14:17:21+00:00
mouse	Cask	Cask	ENSG00000147044	CASK	mapped		2026-05-26T14:17:24+00:00
mouse	Caskin1	Caskin1	ENSG00000167971	CASKIN1	mapped		2026-05-26T14:17:27+00:00
mouse	Casp4	Casp4			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:17:30+00:00
mouse	Casp8	Casp8	ENSG00000064012	CASP8	mapped		2026-05-26T14:17:33+00:00
mouse	Casr	Casr	ENSG00000036828	CASR	mapped		2026-05-26T14:17:36+00:00
mouse	Cass4	Cass4	ENSG00000087589	CASS4	mapped		2026-05-26T14:17:39+00:00
mouse	Cav2	Cav2	ENSG00000105971	CAV2	mapped		2026-05-26T14:17:42+00:00
mouse	Cbln1	Cbln1	ENSG00000102924	CBLN1	mapped		2026-05-26T14:17:46+00:00
mouse	Cbln2	Cbln2	ENSG00000141668	CBLN2	mapped		2026-05-26T14:17:48+00:00
mouse	Cbr2	Cbr2			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:17:51+00:00
mouse	Cbs	Cbs	ENSG00000160200	CBS	mapped		2026-05-26T14:17:55+00:00
mouse	Ccdc126	Ccdc126	ENSG00000169193	CCDC126	mapped		2026-05-26T14:17:58+00:00
mouse	Ccdc153	Ccdc153	ENSG00000248712	CCDC153	mapped		2026-05-26T14:18:01+00:00
mouse	Ccdc184	Ccdc184	ENSG00000177875	CCDC184	mapped		2026-05-26T14:18:04+00:00
mouse	Ccdc3	Ccdc3	ENSG00000151468	CCDC3	mapped		2026-05-26T14:18:08+00:00
mouse	Ccdc80	Ccdc80	ENSG00000091986	CCDC80	mapped		2026-05-26T14:18:10+00:00
mouse	Cckar	Cckar	ENSG00000163394	CCKAR	mapped		2026-05-26T14:18:13+00:00
mouse	Ccl12	Ccl12			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:18:16+00:00
mouse	Ccl19	Ccl19	ENSG00000172724	CCL19	mapped		2026-05-26T14:18:19+00:00
mouse	Ccl2	Ccl2	ENSG00000108691	CCL2	mapped		2026-05-26T14:18:21+00:00
mouse	Ccl24	Ccl24	ENSG00000106178	CCL24	mapped		2026-05-26T14:18:24+00:00
mouse	Ccl3	Ccl3			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:18:27+00:00
mouse	Ccl4	Ccl4			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:18:30+00:00
mouse	Ccl6	Ccl6			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:18:32+00:00
mouse	Ccl8	Ccl8			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:18:35+00:00
mouse	Ccl9	Ccl9			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:18:38+00:00
mouse	Ccna1	Ccna1	ENSG00000133101	CCNA1	mapped		2026-05-26T14:18:41+00:00
mouse	Ccnb1	Ccnb1	ENSG00000134057	CCNB1	mapped		2026-05-26T14:18:44+00:00
mouse	Ccnb2	Ccnb2	ENSG00000157456	CCNB2	mapped		2026-05-26T14:18:47+00:00
mouse	Ccnd1	Ccnd1	ENSG00000110092	CCND1	mapped		2026-05-26T14:18:50+00:00
mouse	Ccnd2	Ccnd2	ENSG00000118971	CCND2	mapped		2026-05-26T14:18:53+00:00
mouse	Ccne1	Ccne1	ENSG00000105173	CCNE1	mapped		2026-05-26T14:18:57+00:00
mouse	Ccp110	Ccp110	ENSG00000103540	CCP110	mapped		2026-05-26T14:19:01+00:00
mouse	Ccr2	Ccr2	ENSG00000121807	CCR2	mapped		2026-05-26T14:19:04+00:00
mouse	Ccr5	Ccr5	ENSG00000160791	CCR5	mapped		2026-05-26T14:19:07+00:00
mouse	Ccr6	Ccr6	ENSG00000112486	CCR6	mapped		2026-05-26T14:19:10+00:00
mouse	Ccrl2	Ccrl2	ENSG00000121797	CCRL2	mapped		2026-05-26T14:19:12+00:00
mouse	Cd109	Cd109	ENSG00000156535	CD109	mapped		2026-05-26T14:19:16+00:00
mouse	Cd14	Cd14	ENSG00000170458	CD14	mapped		2026-05-26T14:19:19+00:00
mouse	Cd163	Cd163	ENSG00000177575	CD163	mapped		2026-05-26T14:19:23+00:00
mouse	Cd24a	Cd24a	ENSG00000272398	CD24	mapped		2026-05-26T14:19:26+00:00
mouse	Cd274	Cd274	ENSG00000120217	CD274	mapped		2026-05-26T14:19:29+00:00
mouse	Cd2ap	Cd2ap	ENSG00000198087	CD2AP	mapped		2026-05-26T14:19:33+00:00
mouse	Cd33	Cd33			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:19:36+00:00
mouse	Cd36	Cd36	ENSG00000135218	CD36	mapped		2026-05-26T14:19:39+00:00
mouse	Cd44	Cd44	ENSG00000026508	CD44	mapped		2026-05-26T14:19:44+00:00
mouse	Cd52	Cd52	ENSG00000169442	CD52	mapped		2026-05-26T14:19:47+00:00
mouse	Cd63	Cd63	ENSG00000135404	CD63	mapped		2026-05-26T14:19:50+00:00
mouse	Cd68	Cd68			unmapped	no_human_one_to_one_ortholog	2026-05-26T14:19:53+00:00
mouse	Cd69	Cd69	ENSG00000110848	CD69	mapped		2026-05-26T14:19:56+00:00
mouse	Cd74	Cd74	ENSG00000019582	CD74	mapped		2026-05-26T14:20:01+00:00
mouse	Cd81	Cd81	ENSG00000110651	CD81	mapped		2026-05-26T14:20:04+00:00
mouse	Cd83	Cd83	ENSG00000112149	CD83	mapped		2026-05-26T14:20:07+00:00
mouse	Cd86	Cd86	ENSG00000114013	CD86	mapped		2026-05-26T14:20:11+00:00
mouse	Cd9	Cd9	ENSG00000010278	CD9	mapped		2026-05-26T14:20:14+00:00
mouse	Cd93	Cd93	ENSG00000125810	CD93	mapped		2026-05-26T14:20:17+00:00
mouse	Cdc20	Cdc20	ENSG00000117399	CDC20	mapped		2026-05-26T14:20:21+00:00
mouse	Cdca7	Cdca7	ENSG00000144354	CDCA7	mapped		2026-05-26T14:20:24+00:00
mouse	Cdh1	Cdh1	ENSG00000039068	CDH1	mapped		2026-05-26T14:20:27+00:00
mouse	Cdh10	Cdh10	ENSG00000040731	CDH10	mapped		2026-05-26T14:20:30+00:00
mouse	Cdh13	Cdh13	ENSG00000140945	CDH13	mapped		2026-05-26T14:20:33+00:00
mouse	Cdh19	Cdh19	ENSG00000071991	CDH19	mapped		2026-05-26T14:20:36+00:00
mouse	Cdh20	Cdh20	ENSG00000101542	CDH20	mapped		2026-05-26T14:20:39+00:00
mouse	Cdh6	Cdh6	ENSG00000113361	CDH6	mapped		2026-05-26T14:20:42+00:00
mouse	Cdh7	Cdh7	ENSG00000081138	CDH7	mapped		2026-05-26T14:20:45+00:00
mouse	Cdk1	Cdk1	ENSG00000170312	CDK1	mapped		2026-05-26T14:20:48+00:00
mouse	Cdk2	Cdk2	ENSG00000123374	CDK2	mapped		2026-05-26T14:20:52+00:00
mouse	Cdk20	Cdk20	ENSG00000156345	CDK20	mapped		2026-05-26T14:20:55+00:00
